Timestamp,What is your gender?,Which class are you enrolled in?,What school year are you in?,What is your sexual orientation?,How many minutes on average is your roundtrip commute to school daily?,What general time frames are your classes in? Select all that apply.,How many days of the week do you have classes?,How many hours do you work/volunteer in a week?,Does your job significantly affect your school life?,How are you paying for college?,How many units are you taking this quarter?,Do you attend in person lectures through zoom?,Do you watch lecture recordings?,What speed do you watch lecture recordings at?,Pineapple on pizza?,How long do you usually sleep per day?,How many clubs or organizations are you currently in?,How many times a week do you visit the Student Recreation Center?,How long do you spend at the SRC each visit?,Have you ever considered using resources targeted towards mental health?,How has your mood been since the start of the quarter?,How was your mood during the previous quarter?,Do you feel like you’re doing better in your in person classes compared to your online classes during the last school year?,What is your opinion on participation credit in your classes?,How much do you agree with the following statement? “More people participated in class before COVID than now.” Only answer if,How much do you agree with the following statement? “My parents influence my decision to go to college.”,How much do you agree with the following statement? “I eat out more than I eat homemade food.”,How much do you agree with the following statement? “I spend more time studying than I do on my hobbies.”,Do you feel like you are mentally present in your in person classes?,How are your grades in the classes you’re currently taking?,Do you think UCR has dedicated enough resources to student’s mental health?,How many days a week during quarantine did you feel your mental health significantly declined?,Do you think our politicians as a whole are focusing enough on climate change?,"To what extent do you believe the effects of climate change, if left unaddressed, will impact our planet?",How many days in a month do you recycle?,What is your work status?,How old are you?,How many times per week do you participate in your classes?,,,What kind of Apple devices do you have?,"On average, how many hours do you spend time on homework per week?",What is your current GPA?,,"On average, how many hours do you study per week?","Rate your stress levels this quarter. 1 being not stressed, 5 being the most stressed.",What is your GPA coming into this quarter,What was your GPA in your last quarter / semester,How many minutes on average is your roundtrip commute to school daily?,How many internships have you applied to within the last month?,How long do you stay at the Student Recreation Center on average each visit?,"On average, how many hours do you spend time on your hobbies per week?"
10/26/2021 18:07:07,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",5,0,No,My parents/relatives are paying for me,17,Sometimes,Yes,1,Yes,8.5 hours,2,5+,,Yes,3,2,2,2,,4,2,,3,3,3,4,2,5,24-30,I don't work,20,5,,,"iPhone, Macbook (Air/Pro)",8,3.0 - 3.4,,5,4,,,1min - 20min,0,45min - 1hr,5
10/26/2021 18:20:36,Male,"CS 105, CS 111",Junior,Straight,,Morning,4,30,Yes,I pay myself,16,Sometimes,Yes,1.25 or 1.5,Yes,Anywhere between 4 - 11 hours.,1,3,,Yes,3,3,4,3,,4,4,,3,3,3,All the time,2,5,0,Part-time,21,5,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,2.5 - 2.9,,15,4,,,1min - 20min,"A few, 3-5",45min - 1hr,10
10/26/2021 18:24:43,Male,CS 111,Junior,Straight,,"Afternoon, Evening",4,8,Yes,My parents/relatives are paying for me,12,No,Yes,1.25,Yes,5 hours,1,4,,No,2,4,2,2,,2,3,,2,2,2,3,1,5,1-7,Part-time,20,3,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod)",10,3.0 - 3.4,,20,4,,,Live on Campus,3,1 - 2hrs,5
10/26/2021 18:38:30,Male,CS 111,Junior,Straight,,Afternoon,5,n/a,Does not apply to me,Scholarship,16,No,Yes,1.5,No,7-8 hours,1,0,,No,5,3,3,3,,2,1,,4,4,4,1,1,5,24-30,I don't work,20,5,,,"iPhone, Macbook (Air/Pro)",15,3.5 - 4.0,,25,3,,,21min - 40min,3,0,20
10/26/2021 18:43:29,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",5,0,Does not apply to me,I pay myself,12,No,No,1.5x,Yes,6 hours,0,3,,No,4,4,5,4,,1,1,,5,4,3,0,3,3,24-30,I don't work,21,5,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",15,3.5 - 4.0,,20,4,,,1min - 20min,30,1 - 2hrs,10
10/26/2021 18:48:01,Male,CS 111,Junior,Straight,,Afternoon,5,0,Does not apply to me,My parents/relatives are paying for me,12,Sometimes,No,Regular,Yes,3-5 hours,0,3,,Yes,4,3,4,4,,4,4,,4,4,4,0,2,5,1-7,I don't work,20,All the time,,,iPhone,14,3.5 - 4.0,,25,4,,,Live on Campus,0,1 - 2hrs,14
10/26/2021 18:48:45,Female,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,Does not apply to me,My parents/relatives are paying for me,12,No,Yes,1.5,No,5,0,0,,No,2,2,3,3,,4,2,,2,3,4,2,3,1,1-7,I don't work,19,2,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",42,3.5 - 4.0,,14,5,,,21min - 40min,0,0,8
10/26/2021 19:07:59,Male,CS 111,Junior,Bisexual,,"Afternoon, Evening",4,30 to 40,Yes,Loan,12.5,Sometimes,Yes,2x,Yes,4-8,0,0,,Yes,2,4,5,5,,3,2,,4,5,3,all of them,1,4,24-30,Full time,21,all of the times,,,iPad,at least 10,3.5 - 4.0,,"including class itself, 15 - 20 hours",4,,,21min - 40min,1,0,5 to 10
10/26/2021 19:09:09,Female,CS 111,Junior,Lesbian,,"Afternoon, Evening",2,50,Yes,I pay myself,12,Yes,Yes,1.5x,Yes,4 hours,3,0,,Yes,2,4,2,1,,5,5,,4,3,4,4,2,5,24-30,Full time,25,2,,,"iPhone, iPad, Apple Watch",10,3.0 - 3.4,,5,4,,,41min - 1hr,0,0,5
10/26/2021 19:10:47,Male,CS 111,Junior,Straight,,"Afternoon, Evening",2,0,Does not apply to me,My parents/relatives are paying for me,4,No,Yes,1.5 to 2.0,Yes,8ish hours,0,0,,Yes,3,4,2,1,,4,1,,3,3,3,No more than normal,1,5,16-23,I don't work,24,2,,,"iPhone, iPad",15,3.0 - 3.4,,5,5,,,1hr+,0,0,
10/26/2021 19:22:06,Male,CS 111,Junior,Straight,,"Afternoon, Evening",5,0,Does not apply to me,My parents/relatives are paying for me,16,Sometimes,Yes,1x sometimes 1.5x,No,6 to 5,0,2,,No,2,3,1,1,,3,4,,2,3,3,5,3,3,8-15,I don't work,21,0,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",30,3.5 - 4.0,,20,5,,,1min - 20min,0,1 - 2hrs,10
10/26/2021 19:44:09,Male,CS 111,Junior,Straight,,Afternoon,3,12,No,Loan,12,No,No,1x,No,7 hours,1,0,,Yes,3,2,3,2,,3,5,,2,4,2,2,2,5,1-7,Part-time,20,3,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",5,3.5 - 4.0,,10,3,,,1min - 20min,0,0,15
10/26/2021 19:49:18,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,12,Sometimes,Yes,1,Yes,8,0,0,,No,4,2,5,5,,1,1,,4,3,4,1,3,3,1-7,I don't work,22,5,,,"iPhone, iPad, Macbook (Air/Pro)",8,3.5 - 4.0,,30,4,,,1min - 20min,5,0,6
10/26/2021 19:57:38,Male,CS 111,Junior,Straight,,"Morning, Afternoon",4,0,Does not apply to me,I pay myself,16,No,Yes,1.5x,No,7-8 hours,None,0,,Yes,3,4,3,2,,4,4,,3,3,3,3,1,2,8-15,I don't work,19,2,,,Macbook (Air/Pro),30,3.5 - 4.0,,25,4,,,Live on Campus,0,0,30
10/26/2021 20:02:37,Male,CS 105,Senior,Straight,,"Morning, Afternoon, Evening",5,0,Does not apply to me,My parents/relatives are paying for me,17,No,Yes,default speed,Yes,8-9 hours,none,0,,No,2,3,1,3,,3,1,,3,3,3,0,3,5,1-7,I don't work,24,7,,,None,51 hours,3.0 - 3.4,,73 hours,4,,,Live on Campus,0,0,15
10/26/2021 20:21:23,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,19,Yes,Fafsa,16,No,Yes,2x,No,3,0,0,,No,4,1,4,2,,5,2,,4,3,3,7,3,5,0,Part-time,19,2,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",15,2.5 - 2.9,,6,5,,,21min - 40min,0,0,6
10/26/2021 20:22:45,Female,CS 111,Sophomore,Straight,,"Afternoon, Evening",5,10,No,My parents/relatives are paying for me,14,No,No,1,Yes,6 hours,1,0,,Yes,4,2,3,1,,3,2,,3,3,3,5,1,5,0,Part-time,19,0,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",3 hours,3.5 - 4.0,,6 hours,4,,,1min - 20min,0,0,0 hours
10/26/2021 20:23:01,Male,CS 111,Junior,Straight,,Afternoon,4,0,Does not apply to me,Loan,12,Sometimes,Yes,1,No,6,0,0,,Yes,3,3,2,1,,3,3,,3,4,3,5,2,4,16-23,I don't work,22,2,,,None,50,3.5 - 4.0,,30,4,,,21min - 40min,0,0,30
10/26/2021 20:24:52,Male,CS 105,Senior,Straight,,Morning,5,20,Yes,My parents/relatives are paying for me,12,No,No,NA,Yes,7,0,0,,No,2,2,4,3,,3,2,,2,2,3,What?,3,5,1-7,Part-time,22,0,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",4,3.5 - 4.0,,2,4,,,1hr+,1,0,10
10/26/2021 20:34:06,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,18,No,No,2,No,7-10 hours,0,0,,No,3,4,2,4,,5,3,,4,4,4,0,2,5,8-15,I don't work,18,5,,,"iPhone, Apple Watch, Macbook (Air/Pro)",15,3.5 - 4.0,,15,3,,,21min - 40min,3,0,15
10/26/2021 20:47:22,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,N/A,Does not apply to me,My parents/relatives are paying for me,18,No,Yes,1x,Yes,10 hours,2,1,,No,4,4,3,4,,5,5,,3,3,5,0,3,5,1-7,I don't work,19,10,,,None,22,3.5 - 4.0,,7,1,,,Live on Campus,0,45min - 1hr,20
10/26/2021 20:54:45,Male,CS 111,Sophomore,Straight,,"Afternoon, Evening",5,0,Does not apply to me,Scholarship,16.5,No,No,never watch,Yes,5,0,0,,No,1,1,1,5,,5,2,,5,1,5,7,1,1,0,Full time,19,11,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",5,3.5 - 4.0,,30,5,,,21min - 40min,1,0,5
10/26/2021 20:58:07,Male,CS 111,Senior,Straight,,Afternoon,5,0,Does not apply to me,Scholarship,16,No,Yes,2x,Yes,5,1,1,,Yes,2,3,2,3,,5,1,,1,3,3,6,3,5,1-7,I don't work,21,2,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,2.5 - 2.9,,2,3,,,21min - 40min,0,45min - 1hr,30
10/26/2021 21:55:03,Male,CS 111,Junior,Straight,,Afternoon,5,0,Does not apply to me,My parents/relatives are paying for me,16,No,No,2X,Yes,8-9 hours,0,4,,No,4,1,5,5,,4,4,,4,3,2,Everyday 7 days a week,1,1,8-15,I don't work,21,11 times? I'm not sure I understand,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,3.0 - 3.4,,10,3,,,Live on Campus,0,16min - 30min,20
10/26/2021 22:08:40,Female,CS 105,Senior,Straight,,Morning,5,12,No,Loan,12,Sometimes,Yes,1.25,Yes,6,1,0,,Yes,3,2,4,1,,1,1,,3,3,1,4,1,1,1-7,Part-time,23,1,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,2.5 - 2.9,,40,4,,,1hr+,0,0,5
10/26/2021 22:29:39,Male,CS 105,Graduate Student,Straight,,Afternoon,5,0,Does not apply to me,I pay myself,12,No,Yes,I do not understand,No,5,0,0,,Yes,3,2,4,5,,3,1,,3,4,3,0,1,4,0,Student Orgs/Volunteer Regulary,26,7,,,"iPhone, iPad",15,3.0 - 3.4,,50,4,,,1min - 20min,0,0,5
10/26/2021 22:31:57,Male,CS 111,Senior,Straight,,"Morning, Afternoon",5,1,No,My parents/relatives are paying for me,16,No,No,Normal,Yes,8 hours,1,1,,Yes,2,4,3,3,,2,5,,2,4,4,3,1,5,1-7,Part-time,21,0,,,iPhone,21,3.0 - 3.4,,2,5,,,21min - 40min,0,45min - 1hr,10
10/26/2021 22:36:15,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,8,No,Yes,x1.5,Yes,6hrs,0,0,,No,3,3,2,1,,5,4,,1,2,3,0,1,5,1-7,I don't work,22,0,,,None,20,3.5 - 4.0,,15,4,,,1hr+,0,0,60
10/26/2021 22:38:02,Male,CS 105,Junior,Gay,,Morning,4,4,Yes,I pay myself,16,Sometimes,Yes,*1.25,Yes,7-8,1,0,,No,1,2,2,5,,3,3,,2,4,4,7,3,3,24-30,I don't work,24,ambiguous question,,,"iPhone, iPad",10+,3.5 - 4.0,,20+,4,,,21min - 40min,0,0,15+
10/26/2021 22:47:47,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,0,Does not apply to me,Scholarship,18,Sometimes,Yes,Normal/Default,Yes,7-8,1,1,,No,3,4,3,2,,5,4,,3,3,4,None,2,5,24-30,I don't work,19,A couple,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod)",15,3.0 - 3.4,,35,3,,,21min - 40min,1,1 - 2hrs,15
10/26/2021 23:16:42,Male,CS 105,Junior,Gay,,"Morning, Evening",5,10,Yes,My parents/relatives are paying for me,12,Yes,Yes,2,No,7 hours,2,2,,Yes,5,2,5,5,,4,5,,2,4,3,7,1,4,1-7,Student Orgs/Volunteer Regulary,20,5,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",15,3.5 - 4.0,,15,3,,,Live on Campus,10,31min - 45min,5
10/26/2021 23:24:31,Male,CS 111,Junior,Straight,,Afternoon,5,0,Does not apply to me,My parents/relatives are paying for me,12ish,No,Yes,normal,No,6hrs+,none,4,,No,1,5,2,3,,3,5,,4,2,3,0,3,3,1-7,I don't work,23,every time there is a class,,,iPhone,10+,3.0 - 3.4,,15+,5,,,Live on Campus,0,31min - 45min,10
10/27/2021 0:55:55,Male,CS 105,Senior,Straight,,"Morning, Afternoon, Evening",5 days ,12-16,No,My parents/relatives are paying for me,15,Sometimes,Yes,1.25,Yes,6-8 hours,1,0,,Yes,3,2,3,5,,5,2,,3,4,4,Everyday ,4,4,16-23,Part-time,22,Most classes I participate,,,iPhone,2-4,2.5 - 2.9,,4-8,3,,,21min - 40min,20,0,8-10
10/27/2021 1:28:58,Male,CS 105,Senior,Straight,,"Morning, Afternoon",5,0,No,My parents/relatives are paying for me,14,Sometimes,Yes,2x,No,7 hours,"CSA, VSA, NSU",5+,,Yes,3,4,2,1,,5,3,,4,4,5,2,3,5,8-15,I don't work,25,7,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",5,3.0 - 3.4,,6,4,,,21min - 40min,0,1 - 2hrs,8
10/27/2021 2:31:12,Male,CS 111,Junior,Straight,,Afternoon,2,0,Does not apply to me,Loan,12,No,No,not applicable,Yes,4-7 hours,0,0,,No,2,3,3,1,,3,3,,3,2,4,5,2,5,8-15,I don't work,20,depends,,,None,7,3.5 - 4.0,,16,5,,,Live on Campus,0,45min - 1hr,6
10/27/2021 3:31:34,Male,CS 111,Junior,Straight,,Afternoon,3,30,Yes,I pay myself,12,Sometimes,Yes,1.5,Yes,8,1,1,,No,3,4,2,1,,4,5,,2,3,3,1,2,5,0,Full time,21,2,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",6,3.5 - 4.0,,5,3,,,21min - 40min,0,45min - 1hr,4
10/27/2021 10:08:52,Male,CS 105,Senior,Straight,,"Morning, Afternoon",4,0,Does not apply to me,My parents/relatives are paying for me,8,Yes,Yes,1,No,6 hours,0,0,,No,3,3,3,4,,2,3,,2,5,3,3,2,4,24-30,I don't work,20,4,,,iPad,4,3.0 - 3.4,,4,3,,,1hr+,5,,32
10/27/2021 10:50:50,Male,CS 105,Junior,Straight,,Morning,5,16,No,Scholarship,13,No,No,1.25,Yes,8,0,0,,No,3,3,3,1,,4,1,,2,5,3,0,3,2,24-30,Part-time,20,1,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",8,3.0 - 3.4,,3,2,,,21min - 40min,10,0,15
10/27/2021 11:01:35,Female,CS 111,Junior,Straight,,Afternoon,4,0,Does not apply to me,Scholarship,16.5,Sometimes,Yes,2,Yes,9,2,0,,Yes,1,1,3,1,,5,3,,2,4,1,everyday,1,5,0,I don't work,21,4,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod)",10,2.5 - 2.9,,30,5,,,21min - 40min,0,0,7
10/27/2021 11:28:59,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,No,My parents/relatives are paying for me,13,No,Yes,1x,No,8hrs,2,0,,No,3,3,4,5,,2,1,,3,5,3,1,4,4,1-7,I don't work,19,every day,,,"iPhone, Macbook (Air/Pro)",20,3.5 - 4.0,,30,4,,,Live on Campus,2,0,20
10/27/2021 11:37:51,Female,CS 111,Junior,Straight,,"Afternoon, Evening",M-F,N/A,Does not apply to me,financial aid ,17,No,Yes,1.5x,Yes,7 hours ,none,0,,Yes,3,4,3,2,,5,3,,4,2,4,A lot (I can't remember),3,4,1-7,I don't work,19,1-2 times,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",~10 hours,3.5 - 4.0,,~15 hours,5,,,21min - 40min,4,0,~6 hours
10/27/2021 12:01:45,Male,CS 111,Sophomore,Straight,,Afternoon,5,About 20,Yes,My parents/relatives are paying for me,12,Yes,Yes,Normal speed,No,6 hours,0,0,,No,2,3,4,2,,5,3,,3,4,3,Yes,1,4,16-23,Part-time,19,Not shure,,,None,5-10,3.5 - 4.0,,About 10,4,,,21min - 40min,None,31min - 45min,Less than 5 hours
10/27/2021 12:11:09,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,17,No,Yes,1.5,Yes,6 -9,2,4,,No,5,2,3,2,,4,5,,3,4,4,maybe once a week,1,5,24-30,I don't work,19,every time,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",depends on assignments,3.5 - 4.0,,quite a bit,4,,,1min - 20min,none yet,1 - 2hrs,depends on how much work I have
10/27/2021 12:13:47,Male,CS 105,Graduate Student,Straight,,Afternoon,4,0,Does not apply to me,My parents/relatives are paying for me,12,Sometimes,Yes,Yuja,Yes,6-8,0,5+,,No,4,4,2,5,,4,2,,3,4,3,0,5,2,1-7,I don't work,23,1,,,None,7,3.5 - 4.0,,10,2,,,Live on Campus,2,16min - 30min,
10/27/2021 12:19:40,Male,CS 105,Senior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,17,Sometimes,Yes,1.25,No,6,1,2,,No,2,3,2,4,,2,2,,4,3,2,0,3,3,0,I don't work,23,0,,,"iPhone, iPad, Macbook (Air/Pro)",4,3.5 - 4.0,,5,4,,,1min - 20min,5,1 - 2hrs,10
10/27/2021 12:40:33,Female,CS 111,Senior,Bisexual,,Afternoon,5,4,Does not apply to me,FAFSA,16,Sometimes,Yes,1.5,Yes,7,1,2,,No,4,4,3,3,,3,1,,3,3,3,2,2,5,1-7,I don't work,21,4,,,iPhone,15,3.0 - 3.4,,35,4,,,1min - 20min,0,31min - 45min,15
10/27/2021 14:08:34,Female,CS 105,Senior,Straight,,"Morning, Afternoon",4,4,Yes,My parents/relatives are paying for me,12,Yes,Yes,1.5,No,6,2,0,,No,2,2,2,4,,4,2,,2,4,3,5,3,5,0,Part-time,23,0,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",7,3.0 - 3.4,,12,4,,,41min - 1hr,0,0,10
10/27/2021 14:15:46,Male,CS 111,Senior,Straight,,Afternoon,4,0,Does not apply to me,My parents/relatives are paying for me,16,Sometimes,No,1,No,8,1,0,,No,3,4,5,5,,4,2,,4,3,4,0,3,4,1-7,I don't work,23,2,,,"iPhone, iPad",10,3.5 - 4.0,,21,4,,,1hr+,5,0,6
10/27/2021 14:20:40,Male,CS 105,Junior,Straight,,Morning,5,20,No,My parents/relatives are paying for me,12,No,Yes,1.5,Yes,7.5,2,3,,Yes,4,4,4,2,,4,2,,2,4,3,0,4,4,8-15,Part-time,20,0,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro), AirTag",10,3.5 - 4.0,,15,2,,,21min - 40min,30,45min - 1hr,5
10/27/2021 14:23:08,Male,CS 105,Senior,Straight,,"Morning, Afternoon, Evening",5,18,No,Scholarship,12,Sometimes,Yes,1x,No,6,0,0,,No,3,2,4,5,,4,5,,4,5,4,3,2,5,0,Part-time,21,11,,,None,30,3.5 - 4.0,,10,4,,,1hr+,0,0,20
